Index,Topic,Question,Answer,Distractor1,Distractor2,Distractor3,The topic and question are related,The marked answer is correct,The question is difficult,The meaning of the question is clear,The distractor answers are relavant to the question,,Additional Notes:,"--Dan is strong in Biology, Chemistry, Physics, Anatomy.                                          --Weak areas: Botany, Geology, Meteorology, Earth Sci"
8460,[N/A],How many main types of diabetes are there?,two,three,one,six,[N/A],6 - Agree,4 - Neither Agree nor Disagree,6 - Agree,6 - Agree,,,
11425,[N/A],What is the minimum number of times a partial lunar eclipse will occur each year?,two,six,11,five,[N/A],6 - Agree,6 - Agree,7 - Strongly Agree,6 - Agree,,,
545,[N/A],What is the three-dimensional structure of a single polypeptide called?,tertiary structure,immature Structure,Cysteine structure,immature structure,[N/A],7 - Strongly Agree,4 - Neither Agree nor Disagree,6 - Agree,5 - Somewhat Agree,,,
574,[N/A],How many ways are there for a species to go extinct?,two,four,eight,Ten,[N/A],2 - Disagree,6 - Agree,5 - Somewhat Agree,6 - Agree,,"As a non-ecology expert, I think this is a hard and weird question",Online research turns multiple frameworks w/ differing numbers of ways a species can go extinct
144,[N/A],Energy contents of foods are often expressed in what?,calories,pulses,grams,nutrients,[N/A],7 - Strongly Agree,2 - Disagree,6 - Agree,5 - Somewhat Agree,,"I think most people, even bio laymen, know that food calories = energy",
774,[N/A],The axon is a long extension of the cell body that transmits what to other cells?,nerve impulses,calcium impulses,synthesis impulses,blood impulses,[N/A],6 - Agree,4 - Neither Agree nor Disagree,5 - Somewhat Agree,4 - Neither Agree nor Disagree,,,
190,[N/A],What is the process by which water moves through semi-permeable membranes from one part of the body to another?,osmosis,diffusion,electrolysis,mitosis,[N/A],7 - Strongly Agree,4 - Neither Agree nor Disagree,6 - Agree,5 - Somewhat Agree,,,
2269,[N/A],"What kind of process occurs naturally under certain conditions, unlike its opposite, which will not take place unless it is “driven” by the continual input of energy from an external source?",spontaneous process,controlled process,noticeable process,activation process,[N/A],6 - Agree,4 - Neither Agree nor Disagree,5 - Somewhat Agree,5 - Somewhat Agree,,,
60,[N/A],What type of bonds are formed by the side-to-side overlap of p orbitals?,pi bonds,sigma bonds,omega bonds,theta bonds,[N/A],7 - Strongly Agree,5 - Somewhat Agree,6 - Agree,7 - Strongly Agree,,,
8336,[N/A],What is the term for the distance between two corresponding points on adjacent waves?,wavelength,arc wave,variation,bandwidth,[N/A],6 - Agree,5 - Somewhat Agree,5 - Somewhat Agree,5 - Somewhat Agree,,,
1953,[N/A],What do the muscles of the gastrointestinal tract do?,keep food moving,break down food,secrete stomach acid,stop digestion,[N/A],6 - Agree,5 - Somewhat Agree,5 - Somewhat Agree,6 - Agree,,,
2983,[N/A],What term is used to describe the sequence of elementary steps that together comprise an entire chemical reaction?,reaction mechanism,source mechanism,elemental mechanism,potassium mechanism,[N/A],6 - Agree,4 - Neither Agree nor Disagree,6 - Agree,5 - Somewhat Agree,,,
9298,[N/A],Cardiomyocytes are striated muscle cells found where?,in cardiac tissue,in the diaphram,in lung tissue,in the intestines,[N/A],7 - Strongly Agree,3 - Somewhat Disagree,6 - Agree,6 - Agree,,"""cardio-"" and ""cardiac"" very similar, probably most laypeople could guess the right answer",
201,[N/A],The noble gases are unreactive because of their?,electron configurations,cell configurations,proton configurations,carbon content,[N/A],7 - Strongly Agree,4 - Neither Agree nor Disagree,6 - Agree,5 - Somewhat Agree,,,
7128,[N/A],"When gametes unite during fertilization, the resulting zygote inherits two of what for each gene, one from each parent?",alleles,chromosomes,genomes,molecules,[N/A],7 - Strongly Agree,5 - Somewhat Agree,6 - Agree,6 - Agree,,,
7178,[N/A],Electrical energy consumed can be expressed as the product of power multiplied by what else?,time,work,energy,speed,[N/A],7 - Strongly Agree,5 - Somewhat Agree,6 - Agree,7 - Strongly Agree,,,
6586,[N/A],"The earliest cells were prokaryotes, surrounded by a cell membrane but lacking which key structure?",nucleus,mitochondria,ribosomes,lysosomes,[N/A],2 - Disagree,6 - Agree,2 - Disagree,6 - Agree,,"Bad question: Yes, prokaryotes lack nuclei (admittedly best answer), but they also lack mitochondria and lysosomes",
6276,[N/A],"All animals have specialized types of what basic structures, which can then do different jobs?",cells,proteins,muscles,atoms,[N/A],3 - Somewhat Disagree,6 - Agree,2 - Disagree,6 - Agree,,"""Cells"" is probably best answer, but question very vague, ""proteins"" and ""muscles"" could also work",
10229,[N/A],What is the term for the visible part of the electromagnetic spectrum?,light,chroma,gravity,electricity,[N/A],6 - Agree,3 - Somewhat Disagree,6 - Agree,4 - Neither Agree nor Disagree,,,
8697,[N/A],How many membranes form the mitochondrion structure of a cell?,two,one,five,three,[N/A],6 - Agree,4 - Neither Agree nor Disagree,6 - Agree,7 - Strongly Agree,,,
9137,[N/A],When did new plants start sprouting after the forest fire?,two months later,five months later,two weeks later,two days later,[N/A],4 - Neither Agree nor Disagree,7 - Strongly Agree,1 - Strongly Disagree,6 - Agree,,"...Is this a reading prompt question? (Based on the ""support"" column?) Impossible to answer without context, unless plant regrowth takes constant time",
8869,[N/A],Which factor causes a cannon ball to move horizontally and then fall on the ground?,projectile motion,cone motion,fluid motion,downward motion,[N/A],7 - Strongly Agree,5 - Somewhat Agree,5 - Somewhat Agree,6 - Agree,,,
6135,[N/A],How many limbs to birds have?,four,five,six,ten,[N/A],7 - Strongly Agree,2 - Disagree,6 - Agree,5 - Somewhat Agree,,Most laypeople probably already know that birds have          2 wings + 2 legs = 4 limbs,"*Typo: ""to"" should be ""do"""
470,[N/A],"When explosion of gases creates pressure resulting in motion of a rocket, the force pushing the rocket is called what?",thrust,friction,stasis,temperature,[N/A],7 - Strongly Agree,3 - Somewhat Disagree,6 - Agree,4 - Neither Agree nor Disagree,,"Bad distractors, easy to eliminate (even for laypeople)",
9724,[N/A],What term is used to describe a simple diagram that shows one way energy flows through an ecosystem?,food chain,water cycle,food pyramid,fuel chain,[N/A],6 - Agree,4 - Neither Agree nor Disagree,5 - Somewhat Agree,5 - Somewhat Agree,,,
6421,[N/A],"The paranasal sinuses are hollow, air-filled spaces located within certain bones of the skull. all of the sinuses communicate with the nasal cavity (paranasal = “next to nasal cavity”) and are lined with this?",nasal mucosa,respiration mucosa,oral mucosa,fluid mucosa,[N/A],5 - Somewhat Agree,5 - Somewhat Agree,6 - Agree,6 - Agree,,,"*Typo: ""all"" should be capitalized: ""All"""
11411,[N/A],"What occurs during the new moon and full moon, due to gravitational pull?",spring tides,spring waves,spring floods,spring storms,[N/A],6 - Agree,4 - Neither Agree nor Disagree,5 - Somewhat Agree,5 - Somewhat Agree,,,
3130,[N/A],Latitude affects the amount of which radiation a place receives?,solar,surface,molecular,thermal,[N/A],6 - Agree,4 - Neither Agree nor Disagree,5 - Somewhat Agree,6 - Agree,,,
9053,[N/A],Organisms that live in freshwater environments often possess a contractile vacuole that prevents cells from taking in too much water through what process?,osmosis,electrolysis,glycolysis,hemostasis,[N/A],5 - Somewhat Agree,5 - Somewhat Agree,3 - Somewhat Disagree,5 - Somewhat Agree,,"Question makes sense, but is weirdly worded",
5315,[N/A],Why are atoms of metals good conductors of electricity?,give up electrons,break into smaller parts,conserve heat,hold on to electrons,[N/A],5 - Somewhat Agree,4 - Neither Agree nor Disagree,5 - Somewhat Agree,6 - Agree,,"Right answer makes sense, but is weirdly worded",
9227,[N/A],What are resources that don't run out?,renewable resources,residual resources,general resources,orbital resources,[N/A],7 - Strongly Agree,4 - Neither Agree nor Disagree,6 - Agree,4 - Neither Agree nor Disagree,,,
2799,[N/A],Body waves travel through the earth and arrive at seismograms before what?,surface waves,sound waves,velocity waves,function waves,[N/A],6 - Agree,4 - Neither Agree nor Disagree,6 - Agree,4 - Neither Agree nor Disagree,,,
10679,[N/A],"If two chlorine atoms share their unpaired electrons by making a covalent bond and forming cl2, they can each complete their what?",valence shell,hypothesized shell,radiative shell,electron shell,[N/A],6 - Agree,4 - Neither Agree nor Disagree,6 - Agree,5 - Somewhat Agree,,,
6803,[N/A],What is the diversity of living things called?,biodiversity,habitat,adaptation,ecosystem,[N/A],7 - Strongly Agree,3 - Somewhat Disagree,6 - Agree,6 - Agree,,"Pretty easy for English speakers: ""diversity"" in both question and answer, and most people know ""bio-"" = ""life""",
8139,[N/A],"What is the layman's term for mammals raising their hair with tiny muscles in the skin, something that is automatic in humans sensing cold?",goosebumps,spine tingling,follicles,hypothermia,[N/A],7 - Strongly Agree,3 - Somewhat Disagree,6 - Agree,6 - Agree,,,
629,[N/A],What is an organic compound that is the primary component of natural gas?,methane,ethanol,magnesium,sulfur,[N/A],6 - Agree,4 - Neither Agree nor Disagree,6 - Agree,6 - Agree,,,
314,[N/A],What term describes how closely packed the particles of matter are?,density,range,mass,space,[N/A],7 - Strongly Agree,4 - Neither Agree nor Disagree,5 - Somewhat Agree,5 - Somewhat Agree,,,
4721,[N/A],Glucocorticoids and mineralocorticoids are the two main types of what in humans?,corticosteroids,carotenoids,metabolites,hormones,[N/A],6 - Agree,5 - Somewhat Agree,6 - Agree,7 - Strongly Agree,,,
282,[N/A],What is the official name for the study of life?,biology,chemistry,geology,botany,[N/A],6 - Agree,2 - Disagree,6 - Agree,6 - Agree,,"Most people know that ""biology"" = ""study of life""",
320,[N/A],"In the chest, the trachea divides as it enters the lungs to form the right and left what?",bronchi,alveoli,ventricle,atrium,[N/A],7 - Strongly Agree,4 - Neither Agree nor Disagree,6 - Agree,6 - Agree,,,
9552,[N/A],What is the most commonly used source of energy in the world?,oil,electricity,wind,water,[N/A],6 - Agree,6 - Agree,6 - Agree,6 - Agree,,,
10287,[N/A],Where do streams often start?,mountains,valleys,oceans,plains,[N/A],6 - Agree,4 - Neither Agree nor Disagree,6 - Agree,6 - Agree,,,
416,[N/A],What atmospheric layer lies above the highest altitude an airplane can go and below the lowest altitude a spacecraft can orbit?,mesosphere,stratosphere,troposphere,thermosphere,[N/A],6 - Agree,6 - Agree,6 - Agree,7 - Strongly Agree,,,
6960,[N/A],Motor neurons and sensory neurons are part of what nervous system?,sensory-somatic,peripheral,central,autonomic,[N/A],2 - Disagree,6 - Agree,2 - Disagree,7 - Strongly Agree,,"Bad question: Correct answer is correct, but motor neurons and sensory neurons are ALSO part of the peripheral nervous system",
10960,[N/A],Which  type of cell division halves the number of chromosomes?,meiosis,fragmentation,budding,mitosis,[N/A],6 - Agree,4 - Neither Agree nor Disagree,6 - Agree,7 - Strongly Agree,,,
8247,[N/A],Metals are elements that can conduct what?,electricity,cycle,orchestras,pollution,[N/A],7 - Strongly Agree,1 - Strongly Disagree,6 - Agree,1 - Strongly Disagree,,"These distractors are random and bad, very easy to eliminate","-10 points for corny ""conducts orchestra"" joke"
6974,[N/A],Different isotopes of an element have different mass numbers because they have different numbers of what?,neutrons,protons,electrons,nuclei,[N/A],7 - Strongly Agree,4 - Neither Agree nor Disagree,6 - Agree,7 - Strongly Agree,,,
4635,[N/A],What process brings nutrients from the ocean's floor to its surface?,upwelling,Down welling,coastal swell,Tides,[N/A],6 - Agree,5 - Somewhat Agree,6 - Agree,7 - Strongly Agree,,,
183,[N/A],What is made in the liver and excreted in urine?,urea,feces,plasma,blood,[N/A],6 - Agree,4 - Neither Agree nor Disagree,6 - Agree,5 - Somewhat Agree,,,
158,[N/A],Where does the energy produced by plants come from?,sunlight,groundwater,animals,evaporation,[N/A],7 - Strongly Agree,4 - Neither Agree nor Disagree,6 - Agree,6 - Agree,,,
452,[N/A],What is the female reproductive structure of a flower?,the pistil,the stamen,the seed,the flower,[N/A],6 - Agree,5 - Somewhat Agree,6 - Agree,7 - Strongly Agree,,,
5446,[N/A],About one-third of the human cerebral cortex is dedicated to analyzing and perceiving information related to what sense?,vision,hearing,touch,taste,[N/A],4 - Neither Agree nor Disagree,6 - Agree,6 - Agree,7 - Strongly Agree,,Occipital lobe only ~18% of cerebrum; Google search turns up ambiguous sources about 1/3 vision dedication,
6040,[N/A],What structure of a cell is enclosed by a membrane and contains most of the cell’s dna?,nucleus,vacuole,ribosome,epidermis,[N/A],7 - Strongly Agree,4 - Neither Agree nor Disagree,6 - Agree,5 - Somewhat Agree,,,
6105,[N/A],Hydrophobic interactions arise because water molecules engage in what type of bonding with other water molecules?,hydrogen bonding,aquatic bonding,oxygen bonding,helium bonding,[N/A],6 - Agree,5 - Somewhat Agree,6 - Agree,7 - Strongly Agree,,,
6269,[N/A],Scientists think the solar system formed from a big cloud of gas and dust called what?,nebula,comet,supernova,Oort cloud,[N/A],6 - Agree,4 - Neither Agree nor Disagree,6 - Agree,7 - Strongly Agree,,,
2265,[N/A],Minerals form when they precipitate from hot fluids that have done what?,cooled down,heated up,dried out,accelerated down,[N/A],6 - Agree,5 - Somewhat Agree,5 - Somewhat Agree,6 - Agree,,,
52,[N/A],During what part of a person's development are they generally at their physical peak?,early adulthood,late adulthood,infancy,senility,[N/A],6 - Agree,3 - Somewhat Disagree,5 - Somewhat Agree,6 - Agree,,Most laypeople probably already know this,
5239,[N/A],What are two ways cnidarians are able to reproduce?,asexually and sexually,mitosis and meiosis,spawning and sexual,internally and externally,[N/A],6 - Agree,4 - Neither Agree nor Disagree,5 - Somewhat Agree,6 - Agree,,,
2986,[N/A],"Furthermore, most of the proteins within membranes have both hydrophobic and which other regions?",hydrophilic,atmospheric,lymphatic,cytosolic,[N/A],6 - Agree,4 - Neither Agree nor Disagree,5 - Somewhat Agree,5 - Somewhat Agree,,,
9311,[N/A],What is created when the wave source moves faster than the wave propagation speed?,bow wake,loop wake,piece wake,superceding wake,[N/A],5 - Somewhat Agree,5 - Somewhat Agree,6 - Agree,6 - Agree,,,
8964,[N/A],What term did schrödinger use for regions around the nucleus where electrons are most likely to be?,orbitals,arrays,isotopes,ellipses,[N/A],6 - Agree,4 - Neither Agree nor Disagree,6 - Agree,4 - Neither Agree nor Disagree,,,
1046,[N/A],Which muscular organ pumps blood all around your body?,heart,stomach,lungs,pancreas,[N/A],7 - Strongly Agree,3 - Somewhat Disagree,6 - Agree,6 - Agree,,,
9192,[N/A],What type of chemicals do ants communicate with?,pheromones,Alkanes,pesticides,hormones,[N/A],6 - Agree,5 - Somewhat Agree,6 - Agree,5 - Somewhat Agree,,,"(LOL, ants communicating with pesticides)"
11016,[N/A],"Tendon, cartilage, and bone are examples of what type of tissue that supports and binds other tissues of the body?",connective tissue,muscular tissue,untreated tissue,repetitive tissue,[N/A],6 - Agree,4 - Neither Agree nor Disagree,6 - Agree,5 - Somewhat Agree,,,
208,[N/A],What does the term decay in chemistry refer to with regards to atoms?,changes in nuclei,pressures in nuclei,destruction of nuclei,separation of nuclei,[N/A],6 - Agree,5 - Somewhat Agree,4 - Neither Agree nor Disagree,6 - Agree,,,
39,[N/A],Most fungi get organic compounds from what?,dead organisms,inorganic material,living organisms,carnivorous organisms,[N/A],6 - Agree,4 - Neither Agree nor Disagree,6 - Agree,6 - Agree,,,
10466,[N/A],Pharmacist and surveyor are two career options based in what type of science?,physical,obvious,Business,visible,[N/A],6 - Agree,3 - Somewhat Disagree,4 - Neither Agree nor Disagree,2 - Disagree,,"Distractors are random and bad, easily eliminated",
944,[N/A],"In a position-time graph, what does the slope of the line represent?",velocity,position,time,direction,[N/A],7 - Strongly Agree,4 - Neither Agree nor Disagree,6 - Agree,7 - Strongly Agree,,,
3262,[N/A],What makes breathing difficult due to respiratory system disease?,narrow air passages,weak lungs,slippery air passages,water in the lungs,[N/A],6 - Agree,5 - Somewhat Agree,6 - Agree,6 - Agree,,,
4732,[N/A],"What kind of a resource is soil, for human purposes?",nonrenewable resource,renewable resource,guarana resource,emanates resource,[N/A],6 - Agree,4 - Neither Agree nor Disagree,5 - Somewhat Agree,5 - Somewhat Agree,,,
2725,[N/A],What type of light can mosquitoes see?,infared,trichina,neon,spicule,[N/A],6 - Agree,5 - Somewhat Agree,6 - Agree,4 - Neither Agree nor Disagree,,,
6786,[N/A],What is the process of larva becoming an adult called?,metamorphosis,parthenogenesis,synthesis,evolution,[N/A],6 - Agree,4 - Neither Agree nor Disagree,6 - Agree,6 - Agree,,,
4927,[N/A],In which organ of the body does gluconeogenesis primarily take place?,liver,kidney,spleen,heart,[N/A],6 - Agree,4 - Neither Agree nor Disagree,6 - Agree,7 - Strongly Agree,,,
8841,[N/A],Fish hatch into larvae that are different from the adult form of?,species,sex,parasites,color,[N/A],4 - Neither Agree nor Disagree,6 - Agree,1 - Strongly Disagree,3 - Somewhat Disagree,,"This question is phrased so weirdly, very difficult to make sense of",
22,[N/A],"Cutting down on the use of chemical fertilizers and preserving wetlands are ways to prevent what ""unlivable"" regions in bodies of water?",dead zones,inhabitable zones,hostile zones,fresh zones,[N/A],6 - Agree,5 - Somewhat Agree,4 - Neither Agree nor Disagree,4 - Neither Agree nor Disagree,,,
5040,[N/A],What is the study of rock strata called?,stratigraphy,biochemistry,chemistry,biology,[N/A],6 - Agree,2 - Disagree,6 - Agree,3 - Somewhat Disagree,,"Bad, easy-to-eliminate distractors;                                                        ""strata"" and ""strati-"" very similar",
5347,[N/A],The number of electrons in the outer energy level determines what property of nonmetals?,reactivity,density,permeability,vibration,[N/A],7 - Strongly Agree,4 - Neither Agree nor Disagree,5 - Somewhat Agree,5 - Somewhat Agree,,,
3477,[N/A],How do oceans help control global warming?,absorbing carbon dioxide,releasing oxygen,reflecting light,Cooling air,[N/A],6 - Agree,5 - Somewhat Agree,6 - Agree,6 - Agree,,,
6839,[N/A],What is caused by bodies sliding over rough surfaces?,friction,heat loss,tension,vibration,[N/A],7 - Strongly Agree,4 - Neither Agree nor Disagree,6 - Agree,6 - Agree,,,
17,[N/A],What occurs when the immune system attacks a harmless substance that enters the body from the outside?,allergy,panic attack,nausea,plague,[N/A],6 - Agree,4 - Neither Agree nor Disagree,6 - Agree,5 - Somewhat Agree,,,
583,[N/A],Wave cut platforms are level areas formed by what?,wave erosion,shock erosion,surge erosion,glaciers,[N/A],6 - Agree,4 - Neither Agree nor Disagree,6 - Agree,5 - Somewhat Agree,,,
836,[N/A],What type of cells detect stimuli?,sensory nerve cells,expressive nerve cells,grid nerve cells,muscle cells,[N/A],6 - Agree,4 - Neither Agree nor Disagree,6 - Agree,5 - Somewhat Agree,,,
11169,[N/A],"What do you call scientists that study the weather, specifically?",meteorologists,hydrologists,forecasters,geologists,[N/A],6 - Agree,4 - Neither Agree nor Disagree,5 - Somewhat Agree,6 - Agree,,,
5827,[N/A],What are the four well-known states of matter?,"solid, liquid, gas, and plasma","solid, liquid, gas, and wave","solid, liquid, plasma, and metal","solid , imine , gas , and plasma",[N/A],6 - Agree,3 - Somewhat Disagree,5 - Somewhat Agree,5 - Somewhat Agree,,,
848,[N/A],Types of radiation that cause cancer include ultraviolet (uv) radiation and what?,radon,thermal,molecular,vibrational,[N/A],6 - Agree,4 - Neither Agree nor Disagree,5 - Somewhat Agree,5 - Somewhat Agree,,,
2253,[N/A],Deep water filling a void caused by surface winds blowing water north and south is known as?,upwelling,downwelling,surface current,divergence,[N/A],6 - Agree,4 - Neither Agree nor Disagree,5 - Somewhat Agree,6 - Agree,,,
3390,[N/A],"Frogs and toads, salamanders and newts, and caecilians are the three orders of what group of animals?",amphibians,marsupials,reptiles,mammals,[N/A],6 - Agree,4 - Neither Agree nor Disagree,6 - Agree,5 - Somewhat Agree,,,
1091,[N/A],"What type of galaxies have a rotating disk of stars and dust, a bulge in the middle, and several arms?",spiral galaxies,pinwheel galaxies,round galaxies,spherical galaxies,[N/A],6 - Agree,4 - Neither Agree nor Disagree,6 - Agree,6 - Agree,,,
6285,[N/A],What do winter storms develop from at higher latitudes?,cyclones,humidity,clouds,temperatures,[N/A],6 - Agree,4 - Neither Agree nor Disagree,5 - Somewhat Agree,5 - Somewhat Agree,,,
4460,[N/A],What is the term for chordates with a vertebral column and endoskeleton of cartilage and bone?,vertebrate,am,insect,mammel,[N/A],6 - Agree,5 - Somewhat Agree,6 - Agree,5 - Somewhat Agree,,"...what's an ""am""?  Bad distractor, probably a typo",
7449,[N/A],What is the cloud of  brown dust-like power that escapes when a puffball fungus is touched?,spores,ions,seeds,pollon,[N/A],6 - Agree,4 - Neither Agree nor Disagree,6 - Agree,5 - Somewhat Agree,,"*Typo: ""pollon"" should be ""pollen""",
921,[N/A],What do we call the visible part of the electromagnetic spectrum?,light,weight,radio,electricity,[N/A],7 - Strongly Agree,4 - Neither Agree nor Disagree,6 - Agree,5 - Somewhat Agree,,,
11030,[N/A],Scientists explain the world based on what?,observations,changes,patterns,theories,[N/A],5 - Somewhat Agree,5 - Somewhat Agree,5 - Somewhat Agree,7 - Strongly Agree,,,
838,[N/A],"The cultivated forms of wheat, cotton, and tobacco plants are all what?",allopolyploids,pores,sporozoans,bales,[N/A],6 - Agree,5 - Somewhat Agree,6 - Agree,5 - Somewhat Agree,,,
832,[N/A],What is the developmental process of gastropods called?,torsion,regeneration,modulation,occlusion,[N/A],6 - Agree,4 - Neither Agree nor Disagree,6 - Agree,5 - Somewhat Agree,,,
9358,[N/A],Light from objects at different distances is focused by what part of the eye?,lens,iris,pupil,meniscus,[N/A],6 - Agree,5 - Somewhat Agree,6 - Agree,7 - Strongly Agree,,,
8781,[N/A],"Plant viruses can seriously disrupt crop growth and development, significantly affecting our what?",food supply,air supply,fuel supply,harvest supply,[N/A],5 - Somewhat Agree,6 - Agree,2 - Disagree,6 - Agree,,"Hard, tricky question. Technically, plants are responsible for food, air, fuel, and harvests. Mutiple right answers",
4850,[N/A],"What are drumlins, eskers, and kettle lakes formed by?",glaciers,earthquakes,meteors,tsunamis,[N/A],6 - Agree,5 - Somewhat Agree,6 - Agree,7 - Strongly Agree,,,
11004,[N/A],The most powerful or influential individual in a group is sometimes called what?,dominant,superior,gamma,beta,[N/A],5 - Somewhat Agree,4 - Neither Agree nor Disagree,5 - Somewhat Agree,6 - Agree,,"""Alpha"" would have probably(?) been a better answer",(This feels more like a vocabulary question than a psychology question... it's probably ecology? Or maybe psychology or sociology?)
11135,[N/A],What is the hypothesis that states that the biosphere is its own living organism?,gaia hypothesis,Big Bang theory,Geiger theory,Pascal's hypothesis,[N/A],6 - Agree,4 - Neither Agree nor Disagree,6 - Agree,5 - Somewhat Agree,,,
3059,[N/A],"Some fish will be over-fished to the point that their species ceases to exist, which is also known as what?",extinction,endangered,accumulation,abundance,[N/A],7 - Strongly Agree,2 - Disagree,6 - Agree,6 - Agree,,,
3733,[N/A],Community interactions are important factors in what?,natural selection,natural process,natural change,natural resources,[N/A],5 - Somewhat Agree,6 - Agree,3 - Somewhat Disagree,4 - Neither Agree nor Disagree,,"This is a very weirdly worded question... I guess it's about evolutionary group altriusm, which is ecology?",
1956,[N/A],"Ingestive protists extend their cell wall and cell membrane around the food item, forming a what?",food vacuole,food pocket,fuel vacuole,protective bubble,[N/A],6 - Agree,5 - Somewhat Agree,6 - Agree,5 - Somewhat Agree,,,
925,[N/A],"What absorbs, scatters, or reflects most incoming solar radiation in the atmosphere?",clouds and dust,clouds and sand,ice and dust,coulds and minerals,[N/A],6 - Agree,5 - Somewhat Agree,5 - Somewhat Agree,6 - Agree,,"*Typo: ""coulds"" should be ""clouds""",
177,[N/A],"In physics, when one subtracts the frictional force from the applied force what is the result?",net force,rolled force,quarter force,kinetic force,[N/A],6 - Agree,5 - Somewhat Agree,4 - Neither Agree nor Disagree,5 - Somewhat Agree,,,
1009,[N/A],What happens to charges whenever they are accelerated?,they radiate,they fuse,they darken,they die,[N/A],5 - Somewhat Agree,3 - Somewhat Disagree,4 - Neither Agree nor Disagree,3 - Somewhat Disagree,,,
10412,[N/A],What cells carry oxygen?,red blood cells,marrow cells,white blood cells,lymph cells,[N/A],7 - Strongly Agree,5 - Somewhat Agree,6 - Agree,6 - Agree,,,
3307,[N/A],What keeps earth in orbit around the sun?,gravity,energy,motion,momentum,[N/A],6 - Agree,4 - Neither Agree nor Disagree,6 - Agree,6 - Agree,,,
94,[N/A],What is the division of the cytoplasm in eukaryotic cells?,cytokinesis,electrolysis,andronisis,metamorphosis,[N/A],6 - Agree,4 - Neither Agree nor Disagree,5 - Somewhat Agree,4 - Neither Agree nor Disagree,,,
285,[N/A],What is the usual treatment for acute bronchitis?,antibiotics,surgery,physical therapy,pesticides,[N/A],6 - Agree,4 - Neither Agree nor Disagree,5 - Somewhat Agree,5 - Somewhat Agree,,,
7807,[N/A],What color is neptune?,blue,yellow,pink,white,[N/A],6 - Agree,5 - Somewhat Agree,6 - Agree,6 - Agree,,,
409,[N/A],What is usually the most visible part of the flower?,petals,cells,seeds,roots,[N/A],6 - Agree,3 - Somewhat Disagree,4 - Neither Agree nor Disagree,5 - Somewhat Agree,,,
401,[N/A],"Aerobic exercise helps improve the cardiovascular system, while what exercise causes muscles to get bigger and stronger?",anaerobic,endurance,skeletal,enzymatic,[N/A],5 - Somewhat Agree,5 - Somewhat Agree,5 - Somewhat Agree,5 - Somewhat Agree,,,
11657,[N/A],What is the term for tough protein fibers that connects bones to each other?,ligaments,tetons,cords,muscles,[N/A],7 - Strongly Agree,4 - Neither Agree nor Disagree,6 - Agree,6 - Agree,,"*Typo(?): ""tetons"" should be ""tendons""(?)",
3126,[N/A],"What are organisms called, like the red-winged blackbird, that eat many different types of food?",generalists,omniverous,specalist,carniverous,[N/A],5 - Somewhat Agree,6 - Agree,4 - Neither Agree nor Disagree,7 - Strongly Agree,,"*Typos: ""Omniverous"" should be ""omnivorous"", and ""carniverous"" should be ""carnivorous""",Non-ecologist confusion: omnivore (CAN eat a variety of foods) vs. generalist (DOES eat a variety of foods?)
1471,[N/A],Atoms of one element can be transformed into another through which process?,nuclear reactions,magnetic reactions,longer reactions,developed reactions,[N/A],6 - Agree,4 - Neither Agree nor Disagree,6 - Agree,5 - Somewhat Agree,,,
6643,[N/A],Prokaryotes divide via binary fission and do not undergo what process of cell division?,mitosis,prophase,meiosis,fusion,[N/A],2 - Disagree,6 - Agree,2 - Disagree,6 - Agree,,"It's correct that prokaryotes don't do mitosis (b/c no nucleus), but they also don't do meiosis (b/c no nucleus)",
1185,[N/A],Sex-linked traits are located on genes on what chromosomes?,sex,reactive,neural,dna,[N/A],7 - Strongly Agree,4 - Neither Agree nor Disagree,6 - Agree,6 - Agree,,,
643,[N/A],The chains in cellulose stack in parallel rows held together by hydrogen bonds between which groups?,hydroxl groups,disc groups,carbon groups,soda groups,[N/A],6 - Agree,4 - Neither Agree nor Disagree,5 - Somewhat Agree,4 - Neither Agree nor Disagree,,"(I really dislike the ""soda groups"" distractor)",
10468,[N/A],The mechanical advantage of a machine is related to how it changes what?,force,pressure,nature,example,[N/A],6 - Agree,3 - Somewhat Disagree,5 - Somewhat Agree,4 - Neither Agree nor Disagree,,"Bad, easy-to-eliminate distractors:                                                                ""example"" (typo?) and ""nature""",